x_mm,z_mm,initial_top_y_mm,u2_mm,full_thickness_mm,full_thickness_um
37.0,0.0,0.0825,-0.0116528915,0.14169421792030334,141.69421792030334
37.5,0.0,0.0825,-0.011653226,0.14169356226921082,141.69356226921082
38.0,0.0,0.0825,-0.011653568,0.1416928768157959,141.6928768157959
38.5,0.0,0.0825,-0.011653911,0.14169219136238098,141.69219136238098
39.0,0.0,0.0825,-0.011654263,0.14169147610664368,141.69147610664368
39.5,0.0,0.0825,-0.011654615,0.14169077575206757,141.69077575206757
40.0,0.0,0.0825,-0.011654978,0.14169004559516907,141.69004559516907
40.5,0.0,0.0825,-0.011655339,0.14168933033943176,141.68933033943176
41.0,0.0,0.0825,-0.011655701,0.14168860018253326,141.68860018253326
41.5,0.0,0.0825,-0.011656082,0.14168784022331238,141.68784022331238
42.0,0.0,0.0825,-0.011656454,0.14168709516525269,141.68709516525269
42.5,0.0,0.0825,-0.011656835,0.1416863352060318,141.6863352060318
43.0,0.0,0.0825,-0.011657226,0.14168556034564972,141.68556034564972
43.5,0.0,0.0825,-0.011657606,0.14168480038642883,141.68480038642883
44.0,0.0,0.0825,-0.011658006,0.14168399572372437,141.68399572372437
44.5,0.0,0.0825,-0.011658406,0.1416831910610199,141.6831910610199
45.0,0.0,0.0825,-0.011658806,0.14168238639831543,141.68238639831543
45.5,0.0,0.0825,-0.011659215,0.14168158173561096,141.68158173561096
46.0,0.0,0.0825,-0.011659626,0.1416807472705841,141.6807472705841
46.5,0.0,0.0825,-0.011660044,0.14167991280555725,141.67991280555725
47.0,0.0,0.0825,-0.011660464,0.1416790783405304,141.6790783405304
47.5,0.0,0.0825,-0.011660892,0.14167822897434235,141.67822897434235
48.0,0.0,0.0825,-0.011661321,0.1416773647069931,141.6773647069931
48.5,0.0,0.0825,-0.011661759,0.14167648553848267,141.67648553848267
49.0,0.0,0.0825,-0.011662197,0.14167560636997223,141.67560636997223
49.5,0.0,0.0825,-0.011662644,0.1416747123003006,141.6747123003006
50.0,0.0,0.0825,-0.011663092,0.14167381823062897,141.67381823062897
50.5,0.0,0.0825,-0.011663539,0.14167292416095734,141.67292416095734
51.0,0.0,0.0825,-0.011663997,0.1416720151901245,141.6720151901245
51.5,0.0,0.0825,-0.011664463,0.1416710764169693,141.6710764169693
52.0,0.0,0.0825,-0.011664931,0.1416701376438141,141.6701376438141
52.5,0.0,0.0825,-0.011665396,0.14166921377182007,141.66921377182007
53.0,0.0,0.0825,-0.011665873,0.14166826009750366,141.66826009750366
53.5,0.0,0.0825,-0.011666358,0.14166729152202606,141.66729152202606
54.0,0.0,0.0825,-0.011666845,0.14166632294654846,141.66632294654846
54.5,0.0,0.0825,-0.011667331,0.14166533946990967,141.66533946990967
55.0,0.0,0.0825,-0.011667826,0.14166435599327087,141.66435599327087
55.5,0.0,0.0825,-0.011668321,0.14166337251663208,141.66337251663208
56.0,0.0,0.0825,-0.0116688255,0.1416623592376709,141.6623592376709
56.5,0.0,0.0825,-0.01166933,0.14166134595870972,141.66134595870972
57.0,0.0,0.0825,-0.011669845,0.14166031777858734,141.66031777858734
57.5,0.0,0.0825,-0.0116703585,0.14165928959846497,141.65928959846497
58.0,0.0,0.0825,-0.011670884,0.1416582465171814,141.6582465171814
58.5,0.0,0.0825,-0.011671406,0.14165718853473663,141.65718853473663
59.0,0.0,0.0825,-0.011671941,0.14165613055229187,141.65613055229187
59.5,0.0,0.0825,-0.0116724735,0.1416550576686859,141.6550576686859
60.0,0.0,0.0825,-0.011673007,0.14165398478507996,141.65398478507996
60.5,0.0,0.0825,-0.011673549,0.141652911901474,141.652911901474
