initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-33.75,-45.0,-33.729644775390625,150.0000340243142,150.00003576278687,0.0
-33.75,-40.0,-33.729637145996094,150.0000216066822,150.00002086162567,0.0
-33.75,-35.0,-33.729644775390625,150.0000340243142,150.00003576278687,0.0
-33.75,-30.0,-33.72962951660156,150.0000216066822,150.00002086162567,0.0
-33.75,-25.0,-33.72963333129883,150.0000029802322,150.00000596046448,0.0
-33.75,-20.0,-33.7296257019043,150.0000216066822,150.00002086162567,0.0
-33.75,-15.0,-33.7296257019043,149.9999595185066,149.9999612569809,0.0
-33.75,-10.0,-33.72962188720703,150.0000340243142,150.00003576278687,0.0
-33.75,-5.0,-33.72962188720703,149.9999595185066,149.9999612569809,0.0
-33.75,0.0,-33.72962951660156,150.0000216066822,150.00002086162567,0.0
-33.75,5.0,-33.729618072509766,149.9999595185066,149.9999612569809,0.0
-33.75,10.0,-33.72962188720703,150.0000029802322,150.00000596046448,0.0
-33.75,15.0,-33.72962188720703,149.999978144962,149.9999761581421,0.0
-33.75,20.0,-33.72962188720703,150.0000029802322,150.00000596046448,0.0
-33.75,25.0,-33.7296257019043,149.999978144962,149.9999761581421,0.0
-33.75,30.0,-33.7296257019043,150.0000526507603,150.00005066394806,0.0
-33.75,35.0,-33.729637145996094,149.99999056259762,149.99999105930328,0.0
-33.75,40.0,-33.7296257019043,150.00006506838974,150.00006556510925,0.0
-33.75,45.0,-33.729637145996094,149.99999056259762,149.99999105930328,0.0
-33.75,50.0,-33.72962188720703,150.00006506838974,150.00006556510925,0.0
-32.5,-50.0,-32.47962951660156,149.9999719361438,149.9999612569809,0.0
-32.5,-45.0,-32.479644775390625,149.99999056259762,149.9999761581421,0.0
-32.5,-40.0,-32.479637145996094,149.9999719361438,149.9999612569809,0.0
-32.5,-35.0,-32.479644775390625,149.9999719361438,149.9999612569809,0.0
-32.5,-30.0,-32.47962951660156,149.99999056259762,149.9999761581421,0.0
-32.5,-25.0,-32.47962951660156,149.99999056259762,149.9999761581421,0.0
-32.5,-20.0,-32.47962951660156,150.0000340243142,150.00002086162567,0.0
-32.5,-15.0,-32.4796257019043,150.0000340243142,150.00002086162567,0.0
-32.5,-10.0,-32.47962188720703,150.00001539786578,150.00000596046448,0.0
-32.5,-5.0,-32.47962188720703,150.0000464419452,150.00003576278687,0.0
-32.5,0.0,-32.47962951660156,150.0000029802322,149.99999105930328,0.0
-32.5,5.0,-32.47962188720703,150.0000774860182,150.00006556510925,0.0
-32.5,10.0,-32.47962188720703,150.00001539786578,150.00000596046448,0.0
-32.5,15.0,-32.47962188720703,150.0000899036456,150.00008046627045,0.0
-32.5,20.0,-32.47962188720703,150.00001539786578,150.00000596046448,0.0
-32.5,25.0,-32.47962951660156,150.0000464419452,150.00003576278687,0.0
-32.5,30.0,-32.47962188720703,149.9999719361438,149.9999612569809,0.0
-32.5,35.0,-32.479637145996094,150.0000029802322,149.99999105930328,0.0
-32.5,40.0,-32.47962951660156,149.99999056259762,149.9999761581421,0.0
-32.5,45.0,-32.479637145996094,149.9999719361438,149.9999612569809,0.0
-32.5,50.0,-32.47962188720703,150.0000029802322,149.99999105930328,0.0
-31.25,-50.0,-31.229631423950195,150.0000464419452,149.9999761581421,0.0
-31.25,-45.0,-31.229646682739258,150.00002781549833,149.9999612569809,0.0
-31.25,-40.0,-31.229637145996094,150.00005885957518,149.99999105930328,0.0
-31.25,-35.0,-31.229644775390625,150.00005885957518,149.99999105930328,0.0
-31.25,-30.0,-31.229633331298828,150.0000526507603,149.99999105930328,0.0
