step,frame_index,step_time,total_time,top_u2_mm,top_rf2_N,max_cpress_MPa,max_compressive_PRESS_MPa,pevol_min,pevol_max,pevol_max_abs,avg_thickness_um,min_thickness_um,max_thickness_um,column_count,unloaded_zero_contact
Compress_Down,11,0.4650000035762787,0.4650000035762787,-0.006974999792873859,-1322.1123046875,221.0802764892578,135.41270955403647,-0.008418832905590534,0.00997155625373125,0.00997155625373125,143.12023833118167,143.07355880737305,143.12871655783965,121,False
Compress_Down,12,0.5149999856948853,0.5149999856948853,-0.007724999915808439,-1363.49658203125,228.21798706054688,152.3331298828125,-0.01800401322543621,0.009855721145868301,0.01800401322543621,142.37319164650134,142.32375845313072,142.38045448291814,121,False
Compress_Down,13,0.5649999976158142,0.5649999976158142,-0.008475000038743019,-1399.0712890625,234.3785400390625,167.6691411336263,-0.031640833243727684,0.009650995023548603,0.031640833243727684,141.62572750053585,141.5739208459854,141.63171771360794,121,False
Compress_Down,14,0.6150000095367432,0.6150000095367432,-0.009224999696016312,-1429.2896728515625,239.64793395996094,182.5233917236328,-0.05183650366961956,0.009372876957058907,0.05183650366961956,140.87787709208033,140.82405343651772,140.88252019428182,121,False
Compress_Down,15,0.6650000214576721,0.6650000214576721,-0.009975000284612179,-1454.771484375,244.11102294921875,193.13904825846353,-0.08017082512378693,0.009130231104791164,0.08017082512378693,140.12968691191824,140.07425215095282,140.13307796267327,121,False
Compress_Down,16,0.7149999737739563,0.7149999737739563,-0.010724999941885471,-1476.0675048828125,247.85162353515625,198.93919372558594,-0.11357149668037891,0.008848493918776512,0.11357149668037891,139.3811958644747,139.32444900274277,139.3835014096112,121,False
Compress_Down,17,0.7649999856948853,0.7649999856948853,-0.011474999599158764,-1493.6800537109375,250.95204162597656,202.2696075439453,-0.15239229425787926,0.008546820841729641,0.15239229425787926,138.63243852467934,138.57468031346798,138.633839393151,121,False
Compress_Down,18,0.8149999976158142,0.8149999976158142,-0.012225000187754631,-1508.1153564453125,253.492431640625,204.2610626220703,-0.19852172769606113,0.008256028406322002,0.19852172769606113,137.88345231305283,137.82487250864506,137.8849394786812,121,False
Compress_Down,19,0.8650000095367432,0.8650000095367432,-0.012974999845027924,-1519.875732421875,255.5494842529297,205.4969736735026,-0.24829239398241043,0.008074157871305943,0.24829239398241043,137.13427424927656,137.07510381937027,137.13583201024448,121,False
Compress_Down,20,0.9150000214576721,0.9150000214576721,-0.01372500043362379,-1529.35302734375,257.2070617675781,206.4286905924479,-0.30142198503017426,0.00793128740042448,0.30142198503017426,136.38493179798598,136.3254627212882,136.38654771784786,121,False
Compress_Down,21,0.9649999737739563,0.9649999737739563,-0.014475000090897083,-1536.93310546875,258.53082275390625,207.12738545735678,-0.35766637325286865,0.007798498496413231,0.35766637325286865,135.63544956117812,135.5756176635623,135.63711725146277,121,False
Compress_Down,22,1.0,1.0,-0.014999999664723873,-1541.3651123046875,259.298095703125,207.54861958821616,-0.3984819147735834,0.007712432183325291,0.3984819147735834,135.11074935319985,135.05068514496088,135.11244718756643,121,False
Hold_135um,0,0.0,1.0,-0.014999999664723873,-1541.3651123046875,259.298095703125,207.54861958821616,-0.3984819147735834,0.007712432183325291,0.3984819147735834,135.11074935319985,135.05068514496088,135.11244718756643,121,False
Hold_135um,1,0.10000000149011612,1.1000000014901161,-0.014999999664723873,-1541.330810546875,259.28936767578125,207.5231730143229,-0.3984819147735834,0.007712428458034992,0.3984819147735834,135.11074635544517,135.05061529576778,135.11244546316448,121,False
Hold_135um,2,0.20000000298023224,1.2000000029802322,-0.014999999664723873,-1541.3306884765625,259.2893371582031,207.52322387695312,-0.3984819147735834,0.007712428458034992,0.3984819147735834,135.11074635243858,135.05061529576778,135.11244546316448,121,False
