step,history_region,time_s,rf2_N,rolling_force_N,u2_mm,rm3_Nmm,ur3_rad,vr3_rad_per_s
Bite_Clamp,Node ASSEMBLY.1,0.18762452900409698,48250.3828125,48250.3828125,-0.013455172069370747,31010244.0,0.017168479040265083,0.23920026421546936
Bite_Clamp,Node ASSEMBLY.1,0.18810433149337769,48369.421875,48369.421875,-0.013485298492014408,30291380.0,0.017283376306295395,0.23972830176353455
Bite_Clamp,Node ASSEMBLY.1,0.1885841339826584,48472.85546875,48472.85546875,-0.013515112921595573,29633468.0,0.0173985306173563,0.24026505649089813
Bite_Clamp,Node ASSEMBLY.1,0.1890639364719391,48567.55859375,48567.55859375,-0.013544615358114243,28954226.0,0.0175139419734478,0.24079826474189758
Bite_Clamp,Node ASSEMBLY.1,0.1895437389612198,48655.640625,48655.640625,-0.013573803938925266,28236808.0,0.017629599198698997,0.24130766093730927
Bite_Clamp,Node ASSEMBLY.1,0.1900235414505005,48727.4296875,48727.4296875,-0.01360267959535122,27570670.0,0.017745502293109894,0.24181599915027618
Bite_Clamp,Node ASSEMBLY.1,0.1905033439397812,48784.37890625,48784.37890625,-0.013631240464746952,26943172.0,0.017861656844615936,0.2423398345708847
Bite_Clamp,Node ASSEMBLY.1,0.1909831464290619,48839.2265625,48839.2265625,-0.013659486547112465,26232620.0,0.01797805353999138,0.24283723533153534
Bite_Clamp,Node ASSEMBLY.1,0.1914629489183426,48878.453125,48878.453125,-0.013687416911125183,25560812.0,0.018094684928655624,0.24332481622695923
Bite_Clamp,Node ASSEMBLY.1,0.1919427514076233,48904.64453125,48904.64453125,-0.013715030625462532,24914248.0,0.018211551010608673,0.2438134104013443
Bite_Clamp,Node ASSEMBLY.1,0.192422553896904,48918.48828125,48918.48828125,-0.013742328621447086,24280472.0,0.018328657373785973,0.24430713057518005
Bite_Clamp,Node ASSEMBLY.1,0.1929023563861847,48927.61328125,48927.61328125,-0.013769309036433697,23589548.0,0.01844598725438118,0.24477669596672058
Bite_Clamp,Node ASSEMBLY.1,0.1933821588754654,48920.35546875,48920.35546875,-0.013795971870422363,22968540.0,0.01856354996562004,0.245253324508667
Bite_Clamp,Node ASSEMBLY.1,0.1938619613647461,48901.83203125,48901.83203125,-0.013822317123413086,22351296.0,0.018681343644857407,0.24573610723018646
Bite_Clamp,Node ASSEMBLY.1,0.1943417638540268,48882.76953125,48882.76953125,-0.013848344795405865,21657548.0,0.018799355253577232,0.24618618190288544
Bite_Clamp,Node ASSEMBLY.1,0.1948215663433075,48843.796875,48843.796875,-0.013874053955078125,21062166.0,0.018917590379714966,0.24664795398712158
Bite_Clamp,Node ASSEMBLY.1,0.1953013688325882,48800.15234375,48800.15234375,-0.013899444602429867,20420512.0,0.01903603971004486,0.24709740281105042
Bite_Clamp,Node ASSEMBLY.1,0.1957811713218689,48744.5390625,48744.5390625,-0.01392451673746109,19811126.0,0.019154708832502365,0.24754735827445984
Bite_Clamp,Node ASSEMBLY.1,0.1962609738111496,48684.1640625,48684.1640625,-0.013949270360171795,19171404.0,0.019273584708571434,0.24798107147216797
Bite_Clamp,Node ASSEMBLY.1,0.1967407763004303,48611.04296875,48611.04296875,-0.013973704539239407,18565576.0,0.019392672926187515,0.248412624001503
Bite_Clamp,Node ASSEMBLY.1,0.197220578789711,48527.3125,48527.3125,-0.0139978202059865,17991188.0,0.01951197348535061,0.24885424971580505
Bite_Clamp,Node ASSEMBLY.1,0.1977003812789917,48442.48046875,48442.48046875,-0.0140216164290905,17346378.0,0.01963147334754467,0.24926979839801788
Bite_Clamp,Node ASSEMBLY.1,0.1981801837682724,48344.015625,48344.015625,-0.014045094139873981,16768072.0,0.019751176238059998,0.24968819320201874
Bite_Clamp,Node ASSEMBLY.1,0.1986599862575531,48241.05859375,48241.05859375,-0.01406825240701437,16165843.0,0.019871078431606293,0.2500959038734436
Bite_Clamp,Node ASSEMBLY.1,0.1991397887468338,48126.8125,48126.8125,-0.01409109216183424,15609647.0,0.019991179928183556,0.2505120038986206
Bite_Clamp,Node ASSEMBLY.1,0.1996195912361145,48013.29296875,48013.29296875,-0.014113613404333591,14997244.0,0.02011146955192089,0.25090691447257996
Bite_Clamp,Node ASSEMBLY.1,0.2000993937253952,47889.66796875,47889.66796875,-0.014135816134512424,14426565.0,0.020231951028108597,0.25129783153533936
Bite_Clamp,Node ASSEMBLY.1,0.2005791962146759,47757.7890625,47757.7890625,-0.014157700352370739,13888186.0,0.020352622494101524,0.251697301864624
Bite_Clamp,Node ASSEMBLY.1,0.2010589987039566,47628.56640625,47628.56640625,-0.01417926698923111,13282603.0,0.020473478361964226,0.25207069516181946
Bite_Clamp,Node ASSEMBLY.1,0.2015388011932373,47486.62109375,47486.62109375,-0.014200516045093536,12741826.0,0.020594513043761253,0.2524462938308716
Bite_Clamp,Node ASSEMBLY.1,0.202018603682518,47341.62890625,47341.62890625,-0.01422144751995802,12196515.0,0.020715728402137756,0.2528192698955536
Bite_Clamp,Node ASSEMBLY.1,0.2024984061717987,47191.0625,47191.0625,-0.014242062345147133,11641021.0,0.020837120711803436,0.25318220257759094
Bite_Clamp,Node ASSEMBLY.1,0.2029782086610794,47031.0,47031.0,-0.014262361451983452,11140032.0,0.02095869369804859,0.2535575330257416
Bite_Clamp,Node ASSEMBLY.1,0.2034580111503601,46873.62890625,46873.62890625,-0.014282343909144402,10556242.0,0.021080434322357178,0.2539026141166687
Bite_Clamp,Node ASSEMBLY.1,0.2039378136396408,46702.03515625,46702.03515625,-0.014302011579275131,10055301.0,0.021202344447374344,0.25425371527671814
Bite_Clamp,Node ASSEMBLY.1,0.2044176161289215,46526.76171875,46526.76171875,-0.014321364462375641,9551844.0,0.02132442407310009,0.2546065151691437
Bite_Clamp,Node ASSEMBLY.1,0.2048974186182022,46349.5703125,46349.5703125,-0.014340403489768505,9006373.0,0.02144666574895382,0.2549378573894501
Bite_Clamp,Node ASSEMBLY.1,0.2053772211074829,46162.7265625,46162.7265625,-0.014359129592776299,8512578.0,0.021569065749645233,0.25526928901672363
Bite_Clamp,Node ASSEMBLY.1,0.2058570235967636,45972.27734375,45972.27734375,-0.014377542771399021,8012440.5,0.02169162407517433,0.25559505820274353
Bite_Clamp,Node ASSEMBLY.1,0.2063368260860443,45776.6328125,45776.6328125,-0.014395643956959248,7524665.0,0.021814338862895966,0.255918025970459
Bite_Clamp,Node ASSEMBLY.1,0.206816628575325,45581.4609375,45581.4609375,-0.014413434080779552,7013093.0,0.02193720079958439,0.25622421503067017
Bite_Clamp,Node ASSEMBLY.1,0.2072964310646057,45375.66796875,45375.66796875,-0.01443091407418251,6581540.0,0.022060221061110497,0.256548136472702
Bite_Clamp,Node ASSEMBLY.1,0.2077762335538864,45176.6953125,45176.6953125,-0.014448084868490696,6061527.0,0.022183384746313095,0.2568446695804596
Bite_Clamp,Node ASSEMBLY.1,0.20825603604316711,44967.96484375,44967.96484375,-0.014464948326349258,5615243.0,0.022306693717837334,0.2571452558040619
Bite_Clamp,Node ASSEMBLY.1,0.20873583853244781,44758.83203125,44758.83203125,-0.014481504447758198,5171874.5,0.02243014983832836,0.25744789838790894
Bite_Clamp,Node ASSEMBLY.1,0.20921564102172852,44549.44140625,44549.44140625,-0.014497754164040089,4713671.0,0.02255374751985073,0.25774163007736206
Bite_Clamp,Node ASSEMBLY.1,0.20969544351100922,44342.703125,44342.703125,-0.01451369933784008,4223208.5,0.022677475586533546,0.2580077052116394
Bite_Clamp,Node ASSEMBLY.1,0.21017524600028992,44121.75,44121.75,-0.014529340900480747,3851712.25,0.022801343351602554,0.2582996189594269
Bite_Clamp,Node ASSEMBLY.1,0.21065504848957062,43910.4453125,43910.4453125,-0.014544679783284664,3373771.5,0.02292533963918686,0.2585636377334595
Bite_Clamp,Node ASSEMBLY.1,0.21113485097885132,43688.95703125,43688.95703125,-0.01455971784889698,2971816.0,0.02304946631193161,0.25883233547210693
Bite_Clamp,Node ASSEMBLY.1,0.21161465346813202,43466.7734375,43466.7734375,-0.014574455097317696,2558177.5,0.02317371964454651,0.25909698009490967
Bite_Clamp,Node ASSEMBLY.1,0.21209445595741272,43239.35546875,43239.35546875,-0.014588894322514534,2157509.5,0.023298101499676704,0.259359747171402
Bite_Clamp,Node ASSEMBLY.1,0.21257425844669342,43010.51953125,43010.51953125,-0.01460303645581007,1750895.875,0.0234226081520319,0.25961416959762573
Bite_Clamp,Node ASSEMBLY.1,0.21305406093597412,42780.30859375,42780.30859375,-0.014616882428526878,1330367.875,0.023547226563096046,0.2598499655723572
Bite_Clamp,Node ASSEMBLY.1,0.21353386342525482,42539.81640625,42539.81640625,-0.014630435034632683,977631.1875,0.023671962320804596,0.26009640097618103
Bite_Clamp,Node ASSEMBLY.1,0.21401366591453552,42300.06640625,42300.06640625,-0.014643695205450058,595212.6875,0.023796819150447845,0.2603358030319214
Bite_Clamp,Node ASSEMBLY.1,0.21449346840381622,42059.67578125,42059.67578125,-0.014656663872301579,199698.96875,0.023921778425574303,0.26055848598480225
Bite_Clamp,Node ASSEMBLY.1,0.21497327089309692,41812.26171875,41812.26171875,-0.014669343829154968,-138678.125,0.02404685690999031,0.260788232088089
Bite_Clamp,Node ASSEMBLY.1,0.21545307338237762,41568.83984375,41568.83984375,-0.014681736007332802,-543791.8125,0.02417202852666378,0.2609905004501343
Bite_Clamp,Node ASSEMBLY.1,0.21593287587165833,41310.3828125,41310.3828125,-0.014693842269480228,-806049.0,0.02429731748998165,0.26122933626174927
Bite_Clamp,Node ASSEMBLY.1,0.21641267836093903,41068.21875,41068.21875,-0.014705664478242397,-1241587.25,0.024422699585556984,0.26141899824142456
Bite_Clamp,Node ASSEMBLY.1,0.21689248085021973,40804.25390625,40804.25390625,-0.014717205427587032,-1490257.375,0.02454819157719612,0.26164403557777405
Bite_Clamp,Node ASSEMBLY.1,0.21737228333950043,40552.16796875,40552.16796875,-0.014728466048836708,-1853903.875,0.02467378042638302,0.26184579730033875
Bite_Clamp,Node ASSEMBLY.1,0.21785208582878113,40293.94921875,40293.94921875,-0.014739449135959148,-2196209.5,0.02479945868253708,0.26203036308288574
Bite_Clamp,Node ASSEMBLY.1,0.21833188831806183,40028.296875,40028.296875,-0.014750155620276928,-2481548.25,0.02492522820830345,0.26222145557403564
Bite_Clamp,Node ASSEMBLY.1,0.21881169080734253,39764.85546875,39764.85546875,-0.01476058829575777,-2831372.0,0.02505107969045639,0.26238611340522766
Bite_Clamp,Node ASSEMBLY.1,0.21929149329662323,39483.18359375,39483.18359375,-0.0147707499563694,-3041450.5,0.02517702803015709,0.26258718967437744
Bite_Clamp,Node ASSEMBLY.1,0.21977129578590393,39208.26953125,39208.26953125,-0.014780641533434391,-3361141.0,0.0253030676394701,0.26276829838752747
Bite_Clamp,Node ASSEMBLY.1,0.22025109827518463,38921.8515625,38921.8515625,-0.014790266752243042,-3625419.75,0.025429192930459976,0.262950599193573
Bite_Clamp,Node ASSEMBLY.1,0.22073090076446533,38636.99609375,38636.99609375,-0.014799626544117928,-3954983.5,0.025555389001965523,0.2630991041660309
Bite_Clamp,Node ASSEMBLY.1,0.22121070325374603,38333.1796875,38333.1796875,-0.014808723703026772,-4167080.25,0.025681667029857635,0.26326653361320496
Bite_Clamp,Node ASSEMBLY.1,0.22169050574302673,38031.03515625,38031.03515625,-0.014817561022937298,-4457147.0,0.025808019563555717,0.26341313123703003
Bite_Clamp,Node ASSEMBLY.1,0.22217030823230743,37713.5234375,37713.5234375,-0.01482614129781723,-4655958.0,0.025934448465704918,0.26357823610305786
Bite_Clamp,Node ASSEMBLY.1,0.22265011072158813,37398.1015625,37398.1015625,-0.014834466390311718,-4939875.0,0.02606094628572464,0.2637178599834442
Bite_Clamp,Node ASSEMBLY.1,0.22312991321086884,37068.66015625,37068.66015625,-0.014842539094388485,-5129190.0,0.02618752233684063,0.26387277245521545
Bite_Clamp,Node ASSEMBLY.1,0.22360971570014954,36743.33984375,36743.33984375,-0.014850362204015255,-5419379.0,0.026314154267311096,0.2639918923377991
Bite_Clamp,Node ASSEMBLY.1,0.22408951818943024,36396.95703125,36396.95703125,-0.014857938513159752,-5540215.5,0.02644086256623268,0.2641517221927643
Bite_Clamp,Node ASSEMBLY.1,0.22456932067871094,36061.25,36061.25,-0.0148652708157897,-5818634.0,0.02656763419508934,0.264273464679718
Bite_Clamp,Node ASSEMBLY.1,0.22504912316799164,35711.3671875,35711.3671875,-0.014872361905872822,-6005844.5,0.026694463565945625,0.26439645886421204
Bite_Clamp,Node ASSEMBLY.1,0.22552892565727234,35358.00390625,35358.00390625,-0.014879214577376842,-6202598.5,0.026821348816156387,0.26451313495635986
Bite_Clamp,Node ASSEMBLY.1,0.22600872814655304,34998.2578125,34998.2578125,-0.014885831624269485,-6396054.5,0.026948288083076477,0.2646222412586212
Bite_Clamp,Node ASSEMBLY.1,0.22648853063583374,34627.16015625,34627.16015625,-0.01489221677184105,-6540460.0,0.02707528881728649,0.2647436857223511
