nodeLabel,x_mm,y_mm,z_mm,CPRESS_MPa
254,0.0,0.0,8.0,0.0
255,0.0,0.0,9.5,0.0
256,0.0,0.0,11.0,0.0
257,0.0,0.15,11.0,0.0
258,0.0,0.15,9.5,0.0
259,0.0,0.15,8.0,0.0
260,0.0,0.15,6.5,0.0
261,0.0,0.15,0.6666667,0.0
262,0.0,0.15,0.33333334,0.0
263,0.0,0.12,0.0,0.0
264,0.0,0.09,0.0,0.0
265,0.0,0.06,0.0,0.0
266,0.0,0.03,0.0,0.0
267,0.0,0.0,0.33333334,1.4785904722813825e-09
268,0.0,0.0,0.6666667,0.0
269,50.0,0.15,0.33333334,0.0
270,50.0,0.15,0.6666667,0.0
271,50.0,0.03,0.0,0.0
272,50.0,0.06,0.0,0.0
273,50.0,0.09,0.0,0.0
274,50.0,0.12,0.0,0.0
275,50.0,0.0,0.6666667,0.0
276,50.0,0.0,0.33333334,0.0
277,2.5,0.0,0.0,0.0035152605269104242
278,5.0,0.0,0.0,0.007179040461778641
279,7.5,0.0,0.0,5.362559285515545e-09
280,10.0,0.0,0.0,0.0
281,12.5,0.0,0.0,1.1903991570250128e-08
282,15.0,0.0,0.0,0.006676184479147196
283,17.5,0.0,0.0,0.009584028273820877
284,20.0,0.0,0.0,0.012029585428535938
285,22.5,0.0,0.0,0.002769812010228634
286,25.0,0.0,0.0,0.0
287,27.5,0.0,0.0,0.00771856214851141
288,30.0,0.0,0.0,0.008338096551597118
289,32.5,0.0,0.0,2.2345099104370547e-09
290,35.0,0.0,0.0,0.0
291,37.5,0.0,0.0,0.001261747209355235
292,40.0,0.0,0.0,0.0
293,42.5,0.0,0.0,0.0
294,45.0,0.0,0.0,0.0
295,47.5,0.0,0.0,0.0
296,47.5,0.15,0.0,0.0
297,45.0,0.15,0.0,0.002256043953821063
298,42.5,0.15,0.0,3.093066780479603e-08
299,40.0,0.15,0.0,0.0
300,37.5,0.15,0.0,0.0
301,35.0,0.15,0.0,0.0
302,32.5,0.15,0.0,7.711163263479648e-09
303,30.0,0.15,0.0,0.0062614912167191505
304,27.5,0.15,0.0,0.0058838180266320705
305,25.0,0.15,0.0,0.005836572498083115
306,22.5,0.15,0.0,0.0026567138265818357
307,20.0,0.15,0.0,0.006310663186013699
308,17.5,0.15,0.0,0.012668156996369362
309,15.0,0.15,0.0,0.0
310,12.5,0.15,0.0,0.006858512293547392
311,10.0,0.15,0.0,0.0
312,7.5,0.15,0.0,0.0013147961581125855
313,5.0,0.15,0.0,0.00397226307541132
314,2.5,0.15,0.0,0.0052537694573402405
315,50.0,0.03,15.0,0.0
316,50.0,0.06,15.0,0.0
317,50.0,0.09,15.0,0.0
318,50.0,0.12,15.0,0.0
319,50.0,0.03,17.5,0.0
320,50.0,0.06,17.5,0.0
