elementLabel,x_mm,y_mm,z_mm,S_Mises_MPa,S22_MPa,S11_MPa
123,38.75,0.0750000011175871,23.75,0.000718555937055498,-0.00010923539230134338,0.0001262685691472143
124,38.75,0.105000000447035,23.75,0.00133762031327933,-4.802186231245287e-05,0.0012319893576204777
125,38.75,0.135000001639128,23.75,0.00201858300715685,-4.044543857162353e-06,0.0021328572183847427
126,36.25,0.0149999996647239,13.75,0.00138157873880118,0.0006568636163137853,-0.0001527985732536763
127,36.25,0.0449999989941716,13.75,0.00164214323740453,0.0002797463093884289,8.238129521487281e-05
128,36.25,0.0750000011175871,13.75,0.00166993087623268,0.0001119784647016786,-9.278987272409722e-05
129,36.25,0.105000000447035,13.75,0.00178810046054423,0.0003713428450282663,0.00034729536855593324
130,36.25,0.135000001639128,13.75,0.00167339900508523,0.000424758909502998,0.0003289278538431972
131,36.25,0.0149999996647239,16.25,0.00125935673713684,-0.00040009975782595575,-0.001562042161822319
132,36.25,0.0449999989941716,16.25,0.00105098495259881,-0.00015320467355195433,-0.0005294384900480509
133,36.25,0.0750000011175871,16.25,0.00139996979851276,2.2540871214005165e-05,-0.0005153397214598954
134,36.25,0.105000000447035,16.25,0.00135323812719434,-2.18062868952984e-05,-0.00021692180598620325
135,36.25,0.135000001639128,16.25,0.0014842787059024,-0.00014737278979737312,0.0004937922349199653
136,36.25,0.0149999996647239,18.75,0.00163351441733539,0.00023162750585470349,-0.0009459818829782307
137,36.25,0.0449999989941716,18.75,0.000885410117916763,-0.00018154650751966983,-0.0001646498858463019
138,36.25,0.0750000011175871,18.75,0.000929351313970983,-0.00011644363985396922,9.040123586601112e-06
139,36.25,0.105000000447035,18.75,0.000978727010078728,3.155144804622978e-05,0.0003253528557252139
140,36.25,0.135000001639128,18.75,0.00107153959106654,0.00010353456309530884,0.0007343997713178396
141,36.25,0.0149999996647239,21.25,0.00138029013760388,-0.00011156182881677523,-0.0014283312484622002
142,36.25,0.0449999989941716,21.25,0.0012016479158774,0.00010488138650543988,-0.0005804244428873062
143,36.25,0.0750000011175871,21.25,0.0012380953412503,-4.456824242993207e-08,1.3559792932937853e-05
144,36.25,0.105000000447035,21.25,0.00142302934546024,4.108049688511528e-05,0.0004591999459080398
145,36.25,0.135000001639128,21.25,0.00125138601288199,-4.9009562644641846e-05,0.00039554195245727897
146,36.25,0.0149999996647239,23.75,0.00142319616861641,8.535083179594949e-05,-0.0010256619425490499
147,36.25,0.0449999989941716,23.75,0.000897693913429976,5.6884760851971805e-05,-0.00025732527137733996
148,36.25,0.0750000011175871,23.75,0.000895701756235212,0.0001550269080325961,0.0001237028045579791
149,36.25,0.105000000447035,23.75,0.000854946032632142,0.00010423133062431589,0.0003855301474686712
150,36.25,0.135000001639128,23.75,0.000922168663237244,5.399429937824607e-05,0.0005605042679235339
151,33.75,0.0149999996647239,13.75,0.00135268829762936,0.000570090429391712,0.0016186697175726295
152,33.75,0.0449999989941716,13.75,0.000784758303780109,0.00022257167438510805,0.0007465140661224723
153,33.75,0.0750000011175871,13.75,0.00125104398466647,0.0001746011694194749,-0.00043741593253798783
154,33.75,0.105000000447035,13.75,0.00178895832505077,0.00024835419026203454,-0.0004497322079259902
155,33.75,0.135000001639128,13.75,0.00217677210457623,0.0003604925877880305,-0.0015338939847424626
156,33.75,0.0149999996647239,16.25,0.00149585190229118,-0.000389704538974911,0.0006368319736793637
157,33.75,0.0449999989941716,16.25,0.000654661504086107,-4.2393188778078184e-05,-6.181468779686838e-05
158,33.75,0.0750000011175871,16.25,0.0013426267541945,-8.529407932655886e-05,-0.0006372610223479569
159,33.75,0.105000000447035,16.25,0.00188724743202329,-0.00017962008132599294,-0.001337868394330144
160,33.75,0.135000001639128,16.25,0.00206515262834728,-0.0002891054900828749,-0.001577823655679822
161,33.75,0.0149999996647239,18.75,0.00244481419213116,0.00032048558932729065,0.0013367747887969017
162,33.75,0.0449999989941716,18.75,0.00126869091764092,0.00019201003306079656,0.00041296856943517923
163,33.75,0.0750000011175871,18.75,0.00071482767816633,8.614555554231629e-05,-0.00019925227388739586
164,33.75,0.105000000447035,18.75,0.00128749967552722,-8.999864803627133e-05,-0.0008873752667568624
165,33.75,0.135000001639128,18.75,0.00189131719525903,0.00020840184879489243,-0.001791324932128191
166,33.75,0.0149999996647239,21.25,0.00213883677497506,-0.0002464866265654564,0.0013468227116391063
167,33.75,0.0449999989941716,21.25,0.00122658116742969,-0.00011273379641352221,0.0005228817462921143
168,33.75,0.0750000011175871,21.25,0.000594255514442921,-7.193459896370769e-05,-0.00010722318984335288
169,33.75,0.105000000447035,21.25,0.00117671606130898,1.1396523404982872e-05,-0.0012202138314023614
170,33.75,0.135000001639128,21.25,0.00171379663515836,-0.00020099693210795522,-0.0020205131731927395
171,33.75,0.0149999996647239,23.75,0.00157463923096657,2.028390736086294e-05,0.0016760817961767316
172,33.75,0.0449999989941716,23.75,0.000676425057463348,-9.254142787540331e-05,0.0005934530054219067
173,33.75,0.0750000011175871,23.75,0.000584621506277472,-0.00016622288967482746,-0.00034591034636832774
174,33.75,0.105000000447035,23.75,0.00133158452808857,-0.0001835202710935846,-0.0011356179602444172
175,33.75,0.135000001639128,23.75,0.00245392858050764,2.88648261630442e-05,-0.0023132218047976494
176,31.25,0.0149999996647239,13.75,0.000770497659686953,0.0005037799710407853,0.00028557892073877156
177,31.25,0.0449999989941716,13.75,0.000831315061077476,0.00018371461192145944,0.00031851089443080127
178,31.25,0.0750000011175871,13.75,0.00103042344562709,0.0003802213759627193,-0.00018676271429285407
179,31.25,0.105000000447035,13.75,0.00119531387463212,0.00030607657390646636,1.1475145583972335e-05
180,31.25,0.135000001639128,13.75,0.00172054825816303,0.0003813464136328548,-0.0007950507570058107
181,31.25,0.0149999996647239,16.25,0.00129690347239375,-0.0003375137457624078,-0.0011987274046987295
182,31.25,0.0449999989941716,16.25,0.00120953470468521,-7.276572432601824e-05,-0.0005624897894449532
183,31.25,0.0750000011175871,16.25,0.00138344406150281,-0.00014757836470380425,-0.0004907121765427291
184,31.25,0.105000000447035,16.25,0.00165655231103301,2.3162205252447166e-05,-0.0010013669962063432
