Z_distance_from_center_mm,initial_thickness_um,hold_thickness_um,unload_thickness_um,hold_change_from_initial_um,unload_change_from_initial_um
-14,150,146.9143033,150.2133012,-3.085696697,0.2133011818
-13,150,146.9239593,150.2129138,-3.076040745,0.2129137516
-12,150,146.9335556,150.2125263,-3.066444397,0.2125263214
-11,150,146.9430625,150.2112597,-3.056937456,0.2112597227
-10,150,146.9527781,150.2132118,-3.047221899,0.2132117748
-9,150,146.9447315,150.2114534,-3.055268526,0.2114534378
-8,150,146.9368339,150.2124667,-3.063166142,0.2124667168
-7,150,146.9288766,150.2130032,-3.071123362,0.2130031586
-6,150,146.92083,150.2132118,-3.079169989,0.2132117748
-5,150,146.9128281,150.213331,-3.087171912,0.2133309841
-4,150,146.9048262,150.2137482,-3.095173836,0.2137482166
-3,150,146.8968093,150.213778,-3.10319066,0.213778019
-2,150,146.8887627,150.214076,-3.111237288,0.2140760422
-1,150,146.8808055,150.2143294,-3.119194508,0.2143293619
0,150,146.8727589,150.2130926,-3.127241135,0.2130925655
1,150,146.8808055,150.2143294,-3.119194508,0.2143293619
2,150,146.8887627,150.214076,-3.111237288,0.2140760422
3,150,146.8968093,150.213778,-3.10319066,0.213778019
4,150,146.9048262,150.2137482,-3.095173836,0.2137482166
5,150,146.9128281,150.213331,-3.087171912,0.2133309841
6,150,146.92083,150.2132118,-3.079169989,0.2132117748
7,150,146.9288766,150.2130032,-3.071123362,0.2130031586
8,150,146.9368339,150.2124667,-3.063166142,0.2124667168
9,150,146.9447315,150.2114534,-3.055268526,0.2114534378
10,150,146.9527781,150.2132118,-3.047221899,0.2132117748
11,150,146.9430625,150.2112597,-3.056937456,0.2112597227
12,150,146.9335556,150.2125263,-3.066444397,0.2125263214
13,150,146.9239593,150.2129138,-3.076040745,0.2129137516
14,150,146.9143033,150.2133012,-3.085696697,0.2133011818
15,150,146.9046474,150.2133161,-3.09535265,0.213316083
16,150,146.8950063,150.2138078,-3.104993701,0.2138078213
17,150,146.8853652,150.2138078,-3.114634752,0.2138078213
18,150,146.8757093,150.2142549,-3.124290705,0.2142548561
19,150,146.8661129,150.2145231,-3.133887053,0.214523077
20,150,146.856457,150.2134204,-3.143543005,0.2134203911
21,150,146.864444,150.2149701,-3.135555983,0.2149701118
22,150,146.8723267,150.2148211,-3.127673268,0.2148211002
23,150,146.8802691,150.2145827,-3.119730949,0.2145826817
24,150,146.8882263,150.2147913,-3.111773729,0.2147912979
25,150,146.8961537,150.2144337,-3.103846312,0.21443367
26,150,146.9041109,150.2146423,-3.095889091,0.2146422863
27,150,146.9120532,150.214389,-3.087946773,0.2143889666
28,150,146.9200253,150.214538,-3.079974651,0.2145379782
29,150,146.9278932,150.2141953,-3.072106838,0.2141952515
30,150,146.9358951,150.2153128,-3.064104915,0.2153128386
31,150,146.9278634,150.2133012,-3.072136641,0.2133011818
32,150,146.9199657,150.2136886,-3.080034256,0.213688612
33,150,146.9119489,150.2132416,-3.088051081,0.2132415771
34,150,146.9040215,150.212869,-3.095978498,0.2128690481
35,150,146.8960047,150.2128989,-3.103995323,0.2128988504
36,150,146.8880922,150.2126455,-3.11190784,0.2126455307
37,150,146.8800306,150.2128243,-3.119969368,0.2128243446
38,150,146.8721926,150.2127647,-3.127807379,0.21276474
39,150,146.863997,150.2126157,-3.136003017,0.2126157284
