"X_distance_from_deformation_center_mm","initial_thickness_um","D900_10pct_hold_thickness_um","D900_20pct_hold_thickness_um","thickness_20pct_minus_10pct_um","compression_10pct_um","compression_20pct_um"
"-2.299999952","150","150.0000507","150.0117928","0.0117420999999922","-5.07000000027347E-05","-0.0117927999999949"
"-2.200000048","150","149.9999166","149.9097943","-0.0901223000000186","8.33999999940715E-05","0.0902057000000127"
"-2.099999905","150","150.0001252","149.3907869","-0.609338300000019","-0.000125200000013592","0.609213100000005"
"-2","150","149.9997824","148.9953697","-1.00441269999999","0.000217600000013363","1.0046303"
"-1.899999976","150","150.0008553","148.5384256","-1.4624297","-0.000855300000011994","1.46157439999999"
"-1.799999952","150","149.9964893","148.0788589","-1.91763040000001","0.00351069999999254","1.9211411"
"-1.700000048","150","150.0089169","147.7351934","-2.27372349999999","-0.00891690000000267","2.26480659999999"
"-1.600000024","150","150.003016","147.3940462","-2.60896980000001","-0.00301600000000235","2.60595380000001"
"-1.5","150","149.5854706","147.0751762","-2.51029440000002","0.414529399999992","2.92482380000001"
"-1.399999976","150","149.1800398","146.7592567","-2.42078309999999","0.819960199999997","3.24074329999999"
"-1.299999952","150","148.855105","146.5137899","-2.3413151","1.14489499999999","3.48621009999999"
"-1.200000048","150","148.5310197","146.2703943","-2.26062540000001","1.4689803","3.72960570000001"
"-1.100000024","150","148.2676119","146.0508704","-2.21674149999998","1.73238810000001","3.94912959999999"
"-1","150","148.0095387","145.8307952","-2.1787435","1.99046129999999","4.16920479999999"
"-0.8999999762","150","147.8008181","145.6684917","-2.13232639999998","2.19918190000001","4.3315083"
"-0.8000000119","150","147.5968063","145.5078721","-2.08893420000001","2.4031937","4.49212790000001"
"-0.6999999881","150","147.4392414","145.3688294","-2.07041199999998","2.56075860000001","4.63117059999999"
"-0.6000000238","150","147.2857296","145.2340484","-2.05168119999999","2.7142704","4.76595159999999"
"-0.5","150","147.1734047","145.1449692","-2.0284355","2.82659530000001","4.85503080000001"
"-0.400000006","150","147.0643878","145.0579464","-2.0064414","2.93561220000001","4.94205360000001"
"-0.3000000119","150","146.9978392","144.9965984","-2.00124079999998","3.00216080000001","5.00340159999999"
"-0.200000003","150","146.9341218","144.9373513","-1.99677050000003","3.06587819999999","5.06264870000001"
"-0.1000000015","150","146.9112337","144.9225545","-1.98867920000001","3.0887663","5.07744550000001"
"0","150","146.8911469","144.9104697","-1.9806772","3.1088531","5.08953030000001"
"0.1000000015","150","146.9112337","144.9225545","-1.98867920000001","3.0887663","5.07744550000001"
"0.200000003","150","146.9341218","144.9373513","-1.99677050000003","3.06587819999999","5.06264870000001"
"0.3000000119","150","146.9978392","144.9965984","-2.00124079999998","3.00216080000001","5.00340159999999"
"0.400000006","150","147.0643878","145.0579464","-2.0064414","2.93561220000001","4.94205360000001"
"0.5","150","147.1734047","145.1449692","-2.0284355","2.82659530000001","4.85503080000001"
"0.6000000238","150","147.2857296","145.2340484","-2.05168119999999","2.7142704","4.76595159999999"
"0.6999999881","150","147.4392414","145.3688294","-2.07041199999998","2.56075860000001","4.63117059999999"
"0.8000000119","150","147.5968063","145.5078721","-2.08893420000001","2.4031937","4.49212790000001"
"0.8999999762","150","147.8008181","145.6684917","-2.13232639999998","2.19918190000001","4.3315083"
"1","150","148.0095387","145.8307952","-2.1787435","1.99046129999999","4.16920479999999"
"1.100000024","150","148.2676119","146.0508704","-2.21674149999998","1.73238810000001","3.94912959999999"
"1.200000048","150","148.5310197","146.2703943","-2.26062540000001","1.4689803","3.72960570000001"
"1.299999952","150","148.855105","146.5137899","-2.3413151","1.14489499999999","3.48621009999999"
"1.399999976","150","149.1800398","146.7592567","-2.42078309999999","0.819960199999997","3.24074329999999"
"1.5","150","149.5854706","147.0751762","-2.51029440000002","0.414529399999992","2.92482380000001"
"1.600000024","150","150.003016","147.3940462","-2.60896980000001","-0.00301600000000235","2.60595380000001"
"1.700000048","150","150.0089169","147.7351934","-2.27372349999999","-0.00891690000000267","2.26480659999999"
"1.799999952","150","149.9964893","148.0788589","-1.91763040000001","0.00351069999999254","1.9211411"
"1.899999976","150","150.0008553","148.5384256","-1.4624297","-0.000855300000011994","1.46157439999999"
"2","150","149.9997824","148.9953697","-1.00441269999999","0.000217600000013363","1.0046303"
"2.099999905","150","150.0001252","149.3907869","-0.609338300000019","-0.000125200000013592","0.609213100000005"
"2.200000048","150","149.9999166","149.9097943","-0.0901223000000186","8.33999999940715E-05","0.0902057000000127"
"2.299999952","150","150.0000507","150.0117928","0.0117420999999922","-5.07000000027347E-05","-0.0117927999999949"
"2.400000095","150","149.9999762","149.9987543","-0.00122189999999023","2.38000000081229E-05","0.00124569999999835"
"2.5","150","150.0000209","149.9994844","-0.00053650000000971","-2.09000000097603E-05","0.000515599999999949"
"2.599999905","150","149.9999911","150.0003338","0.00034270000000447","8.90000001163571E-06","-0.000333799999992834"
"2.700000048","150","150.000006","149.9998122","-0.00019380000000524","-6.00000001327317E-06","0.000187799999991967"
"2.799999952","150","150.000006","150.0000954","8.9399999978923E-05","-6.00000001327317E-06","-9.53999999921962E-05"
"2.900000095","150","150.000006","149.9999166","-8.94000000073447E-05","-6.00000001327317E-06","8.33999999940715E-05"
"3","150","150.000006","150.0000358","2.97999999929743E-05","-6.00000001327317E-06","-3.58000000062475E-05"
"3.099999905","150","150.000006","149.9999613","-4.47000000178832E-05","-6.00000001327317E-06","3.870000000461E-05"
"3.200000048","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"3.299999952","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"3.400000095","150","150.000006","149.9999911","-1.49000000249089E-05","-6.00000001327317E-06","8.90000001163571E-06"
"3.5","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"3.599999905","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"3.700000048","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"3.799999952","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"3.900000095","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"4","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"4.099999905","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"4.199999809","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"4.300000191","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"4.400000095","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"4.5","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"4.599999905","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"4.699999809","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"4.800000191","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"4.900000095","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"5","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
