"Z_distance_from_center_mm","initial_thickness_um","D850_R425_hold_thickness_um","D900_R450_hold_thickness_um","D950_R475_hold_thickness_um","D850_minus_D900_um","D950_minus_D900_um"
"20","150","146.8078494","146.881178","146.9517052","-0.0733285999999964","0.0705271999999866"
"20.5","150","146.8072087","146.8805671","146.951139","-0.0733584000000178","0.0705719000000045"
"21","150","146.8065828","146.8799561","146.9505578","-0.0733732999999859","0.0706017000000259"
"21.5","150","146.8059421","146.8793601","146.9499916","-0.0734180000000038","0.0706314999999904"
"22","150","146.8053013","146.8787491","146.9494253","-0.0734477999999967","0.0706762000000083"
"22.5","150","146.8045563","146.8780339","146.9487548","-0.0734775999999897","0.0707208999999978"
"23","150","146.8037963","146.8773186","146.9480842","-0.0735223000000076","0.0707656000000156"
"23.5","150","146.8030512","146.8766034","146.9474137","-0.0735521999999946","0.0708103000000051"
"24","150","146.8022913","146.875903","146.9467431","-0.0736116999999865","0.0708400999999981"
"24.5","150","146.801427","146.8750536","146.9459534","-0.0736266000000114","0.0708998000000065"
"25","150","146.8005478","146.8742341","146.9451487","-0.0736862999999914","0.0709146000000089"
"25.5","150","146.7996836","146.8733847","146.9443589","-0.0737010999999939","0.0709741999999949"
"26","150","146.7988044","146.8725502","146.9435543","-0.0737458000000117","0.0710040999999819"
"26.5","150","146.7977762","146.8715519","146.9426155","-0.0737756999999988","0.0710636000000022"
"27","150","146.7967331","146.8705535","146.9416618","-0.0738203999999882","0.0711082999999917"
"27.5","150","146.7956901","146.8695551","146.9407082","-0.0738650000000121","0.0711530999999752"
"28","150","146.7946619","146.8685567","146.9397545","-0.073894800000005","0.0711977999999931"
"28.5","150","146.7934549","146.8673795","146.9386518","-0.073924599999998","0.071272300000004"
"29","150","146.792233","146.8662024","146.9375342","-0.0739693999999815","0.0713317999999958"
"29.5","150","146.791026","146.8650103","146.9364166","-0.0739843000000064","0.0714063000000067"
"30","150","146.789819","146.8638331","146.9353139","-0.0740140999999994","0.0714808000000176"
"30.5","150","146.7882842","146.8623281","146.9339132","-0.0740439000000208","0.071585099999993"
"31","150","146.7867643","146.860823","146.9325125","-0.0740587000000232","0.0716894999999909"
"31.5","150","146.7852294","146.859318","146.9311118","-0.0740886000000103","0.0717937999999947"
"32","150","146.7837095","146.857813","146.9297111","-0.0741035000000068","0.0718980999999985"
"32.5","150","146.7819512","146.8560845","146.928072","-0.0741332999999997","0.0719874999999774"
"33","150","146.780178","146.8543559","146.9264328","-0.0741778999999951","0.0720768999999848"
"33.5","150","146.7784047","146.8526125","146.9247937","-0.0742077999999822","0.072181200000017"
"34","150","146.7766315","146.850884","146.9231248","-0.0742525000000001","0.072240800000003"
"34.5","150","146.7741728","146.8485296","146.9208896","-0.0743568000000039","0.0723600000000033"
"35","150","146.7716992","146.846205","146.9186246","-0.0745057999999972","0.0724195999999893"
"35.5","150","146.7692554","146.8438506","146.9163746","-0.0745952000000045","0.0725240000000156"
"36","150","146.7667818","146.8414962","146.9141245","-0.0747144000000048","0.0726283000000194"
"36.5","150","146.7639804","146.838814","146.9114721","-0.0748336000000052","0.072658099999984"
"37","150","146.761179","146.8361318","146.9088495","-0.0749528000000055","0.0727176999999983"
"37.5","150","146.7583477","146.8334496","146.9061971","-0.0751018999999928","0.0727475000000197"
"38","150","146.7555463","146.8307674","146.9035745","-0.0752211000000216","0.0728070999999773"
"38.5","150","146.7510015","146.8264312","146.8992829","-0.0754297000000008","0.0728517000000011"
"39","150","146.7465162","146.8221396","146.8950212","-0.075623400000012","0.0728815999999881"
"39.5","150","146.7419863","146.8178034","146.8907595","-0.0758170999999948","0.072956099999999"
"40","150","146.7374861","146.8135417","146.8865424","-0.0760555999999895","0.0730006999999944"
"40.5","150","146.7315555","146.8078941","146.8810141","-0.0763385999999855","0.0731199999999887"
"41","150","146.7256546","146.8022764","146.8755305","-0.0766217999999981","0.0732540999999856"
"41.5","150","146.7196941","146.7966139","146.8699872","-0.0769198000000131","0.0733732999999859"
"42","150","146.7137635","146.7909962","146.8644738","-0.0772326999999962","0.0734776000000181"
"42.5","150","146.7053294","146.7827857","146.8562782","-0.0774562999999944","0.0734924999999862"
"43","150","146.697104","146.7747986","146.848321","-0.0776946000000009","0.0735224000000017"
"43.5","150","146.6886103","146.7665434","146.8400955","-0.0779330999999956","0.0735521000000006"
"44","150","146.6804445","146.7586011","146.8321979","-0.0781565999999998","0.0735968000000184"
"44.5","150","146.6538012","146.7325985","146.8067169","-0.0787972999999909","0.0741184000000032"
"45","150","146.6274261","146.7069387","146.7815936","-0.0795125999999868","0.074654900000013"
"45.5","150","146.6007382","146.6809809","146.7561424","-0.0802427000000137","0.0751614999999788"
"46","150","146.5743929","146.6552615","146.7309892","-0.0808686000000023","0.0757277000000158"
"46.5","150","146.5886533","146.6687918","146.7438936","-0.0801385000000039","0.0751017999999988"
"47","150","146.6047764","146.68414","146.758616","-0.079363600000022","0.0744759999999758"
"47.5","150","146.6172934","146.6959715","146.7698365","-0.078678100000019","0.0738649999999836"
"48","150","146.6340721","146.7120051","146.7852294","-0.0779330000000016","0.0732242999999926"
"48.5","150","146.1620629","146.2468505","146.3267952","-0.0847875999999985","0.0799446999999986"
"49","150","145.6937045","145.7850337","145.8716393","-0.0913292000000183","0.0866055999999844"
