Z_distance_from_center_mm,initial_thickness_um,D900_refinedZ_no_unload_10pct_hold_thickness_um,change_from_initial_um
-15.5,150,146.88541,-3.114590049
-15,150,146.8857974,-3.114202619
-14.5,150,146.8861848,-3.113815188
-14,150,146.8865573,-3.113442659
-13.5,150,146.8868852,-3.113114834
-13,150,146.8871981,-3.112801909
-12.5,150,146.8875259,-3.112474084
-12,150,146.8878388,-3.11216116
-11.5,150,146.8881071,-3.111892939
-11,150,146.8883604,-3.111639619
-10.5,150,146.8886286,-3.111371398
-10,150,146.8888819,-3.111118078
-9.5,150,146.8890905,-3.110909462
-9,150,146.8892992,-3.110700846
-8.5,150,146.8895078,-3.110492229
-8,150,146.8897164,-3.110283613
-7.5,150,146.8898803,-3.1101197
-7,150,146.8900293,-3.109970689
-6.5,150,146.8901932,-3.109806776
-6,150,146.8903422,-3.109657764
-5.5,150,146.8904614,-3.109538555
-5,150,146.8905658,-3.109434247
-4.5,150,146.890685,-3.109315038
-4,150,146.8907893,-3.10921073
-3.5,150,146.8908638,-3.109136224
-3,150,146.8909234,-3.109076619
-2.5,150,146.8909979,-3.109002113
-2,150,146.8910575,-3.108942509
-1.5,150,146.8910873,-3.108912706
-1,150,146.8911022,-3.108897805
-0.5,150,146.891132,-3.108868003
0,150,146.8911469,-3.108853102
0.5,150,146.891132,-3.108868003
1,150,146.8911022,-3.108897805
1.5,150,146.8910873,-3.108912706
2,150,146.8910575,-3.108942509
2.5,150,146.8909979,-3.109002113
3,150,146.8909234,-3.109076619
3.5,150,146.8908638,-3.109136224
4,150,146.8907893,-3.10921073
4.5,150,146.890685,-3.109315038
5,150,146.8905658,-3.109434247
5.5,150,146.8904614,-3.109538555
6,150,146.8903422,-3.109657764
6.5,150,146.8901932,-3.109806776
7,150,146.8900293,-3.109970689
7.5,150,146.8898803,-3.1101197
8,150,146.8897164,-3.110283613
8.5,150,146.8895078,-3.110492229
9,150,146.8892992,-3.110700846
9.5,150,146.8890905,-3.110909462
10,150,146.8888819,-3.111118078
10.5,150,146.8886286,-3.111371398
11,150,146.8883604,-3.111639619
11.5,150,146.8881071,-3.111892939
12,150,146.8878388,-3.11216116
12.5,150,146.8875259,-3.112474084
13,150,146.8871981,-3.112801909
13.5,150,146.8868852,-3.113114834
14,150,146.8865573,-3.113442659
14.5,150,146.8861848,-3.113815188
15,150,146.8857974,-3.114202619
15.5,150,146.88541,-3.114590049
16,150,146.8850225,-3.114977479
16.5,150,146.8845904,-3.115409613
17,150,146.8841434,-3.115856647
17.5,150,146.8836963,-3.116303682
18,150,146.8832493,-3.116750717
18.5,150,146.8827277,-3.117272258
19,150,146.8822062,-3.117793798
19.5,150,146.8816847,-3.118315339
20,150,146.881178,-3.118821979
20.5,150,146.8805671,-3.119432926
21,150,146.8799561,-3.120043874
21.5,150,146.8793601,-3.12063992
22,150,146.8787491,-3.121250868
22.5,150,146.8780339,-3.121966124
23,150,146.8773186,-3.122681379
23.5,150,146.8766034,-3.123396635
24,150,146.875903,-3.12409699
24.5,150,146.8750536,-3.124946356
25,150,146.8742341,-3.12576592
25.5,150,146.8733847,-3.126615286
26,150,146.8725502,-3.127449751
26.5,150,146.8715519,-3.128448129
27,150,146.8705535,-3.129446507
27.5,150,146.8695551,-3.130444884
28,150,146.8685567,-3.131443262
28.5,150,146.8673795,-3.132620454
29,150,146.8662024,-3.133797646
29.5,150,146.8650103,-3.134989738
30,150,146.8638331,-3.13616693
30.5,150,146.8623281,-3.137671947
31,150,146.860823,-3.139176965
31.5,150,146.859318,-3.140681982
32,150,146.857813,-3.142186999
32.5,150,146.8560845,-3.143915534
33,150,146.8543559,-3.145644069
33.5,150,146.8526125,-3.147387505
34,150,146.850884,-3.149116039
34.5,150,146.8485296,-3.151470423
35,150,146.846205,-3.153795004
35.5,150,146.8438506,-3.156149387
36,150,146.8414962,-3.158503771
36.5,150,146.838814,-3.16118598
37,150,146.8361318,-3.163868189
37.5,150,146.8334496,-3.166550398
38,150,146.8307674,-3.169232607
38.5,150,146.8264312,-3.173568845
39,150,146.8221396,-3.177860379
39.5,150,146.8178034,-3.182196617
40,150,146.8135417,-3.186458349
40.5,150,146.8078941,-3.192105889
41,150,146.8022764,-3.197723627
41.5,150,146.7966139,-3.203386068
42,150,146.7909962,-3.209003806
42.5,150,146.7827857,-3.217214346
43,150,146.7747986,-3.225201368
43.5,150,146.7665434,-3.233456612
44,150,146.7586011,-3.241398931
44.5,150,146.7325985,-3.267401457
45,150,146.7069387,-3.293061256
45.5,150,146.6809809,-3.319019079
46,150,146.6552615,-3.344738483
46.5,150,146.6687918,-3.331208229
47,150,146.68414,-3.315860033
47.5,150,146.6959715,-3.304028511
48,150,146.7120051,-3.287994862
48.5,150,146.2468505,-3.753149509
49,150,145.7850337,-4.214966297
49.5,150,145.3211308,-4.678869247
50,150,144.8729634,-5.127036572
