x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.61538470,7.50000000,-1.49030745,0.135643929,0.135643929,0.150000006,0.000000000,0.000000,9.570717,9.570717,0,890,1358
-1.61538470,10.00000000,-1.49030697,0.135642454,0.135642454,0.150000006,0.000000000,0.000000,9.571701,9.571701,0,889,1357
-1.61538470,12.50000000,-1.49030685,0.135643765,0.135643765,0.150000006,0.000000000,0.000000,9.570827,9.570827,0,888,1356
-1.61538470,15.00000000,-1.49030650,0.135644257,0.135644257,0.150000006,0.000000000,0.000000,9.570499,9.570499,0,887,1355
-1.61538470,17.50000000,-1.49030697,0.135645598,0.135645598,0.150000006,0.000000000,0.000000,9.569605,9.569605,0,886,1354
-1.61538470,20.00000000,-1.49030781,0.135647759,0.135647759,0.150000006,0.000000000,0.000000,9.568164,9.568164,0,885,1353
-1.61538470,22.49999809,-1.49030912,0.135648608,0.135648608,0.150000006,0.000000000,0.000000,9.567598,9.567598,0,884,1352
-1.61538470,25.00000000,-1.49030995,0.135647923,0.135647923,0.150000006,0.000000000,0.000000,9.568055,9.568055,0,883,1351
-1.61538470,27.50000191,-1.49031031,0.135647029,0.135647029,0.150000006,0.000000000,0.000000,9.568651,9.568651,0,882,1350
-1.61538470,30.00000000,-1.49031091,0.135646313,0.135646313,0.150000006,0.000000000,0.000000,9.569128,9.569128,0,881,1349
-1.61538470,32.50000000,-1.49031222,0.135644928,0.135644928,0.150000006,0.000000000,0.000000,9.570052,9.570052,0,880,1348
-1.61538470,35.00000000,-1.49031401,0.135643855,0.135643855,0.150000006,0.000000000,0.000000,9.570767,9.570767,0,879,1347
-1.61538470,37.50000000,-1.49031615,0.135643989,0.135643989,0.150000006,0.000000000,0.000000,9.570678,9.570678,0,878,1346
-1.61538470,40.00000000,-1.49031866,0.135641798,0.135641798,0.150000006,0.000000000,0.000000,9.572138,9.572138,0,877,1345
-1.61538470,42.50000000,-1.49032080,0.135638610,0.135638610,0.150000006,0.000000000,0.000000,9.574264,9.574264,0,876,1344
-1.61538470,44.99999619,-1.49032247,0.135639116,0.135639116,0.150000006,0.000000000,0.000000,9.573926,9.573926,0,875,1343
-1.61538470,47.50000000,-1.49032378,0.135637894,0.135637894,0.150000006,0.000000000,0.000000,9.574740,9.574740,0,874,1342
-1.61538470,50.00000000,-1.49032426,0.135636061,0.135636061,0.150000006,0.000000000,0.000000,9.575962,9.575962,0,129,222
-1.30769229,-50.00000000,-1.14100981,0.132926747,0.132926747,0.150000006,0.000000000,0.000000,11.382172,11.382172,1,68,181
-1.30769229,-47.50000000,-1.14100957,0.132929191,0.132929191,0.150000006,0.000000000,0.000000,11.380543,11.380543,1,873,1341
-1.30769229,-44.99999619,-1.14100826,0.132933646,0.132933646,0.150000006,0.000000000,0.000000,11.377572,11.377572,1,872,1340
-1.30769229,-42.50000000,-1.14100575,0.132935569,0.132935569,0.150000006,0.000000000,0.000000,11.376291,11.376291,1,871,1339
-1.30769229,-40.00000000,-1.14100230,0.132935956,0.132935956,0.150000006,0.000000000,0.000000,11.376033,11.376033,1,870,1338
-1.30769229,-37.50000000,-1.14099801,0.132934988,0.132934988,0.150000006,0.000000000,0.000000,11.376678,11.376678,1,869,1337
-1.30769229,-35.00000000,-1.14099336,0.132934898,0.132934898,0.150000006,0.000000000,0.000000,11.376738,11.376738,1,868,1336
-1.30769229,-32.50000000,-1.14098907,0.132936209,0.132936209,0.150000006,0.000000000,0.000000,11.375864,11.375864,1,867,1335
-1.30769229,-30.00000000,-1.14098454,0.132936284,0.132936284,0.150000006,0.000000000,0.000000,11.375814,11.375814,1,866,1334
-1.30769229,-27.50000191,-1.14098001,0.132934943,0.132934943,0.150000006,0.000000000,0.000000,11.376708,11.376708,1,865,1333
-1.30769229,-25.00000000,-1.14097559,0.132934168,0.132934168,0.150000006,0.000000000,0.000000,11.377225,11.377225,1,864,1332
-1.30769229,-22.49999809,-1.14097202,0.132933661,0.132933661,0.150000006,0.000000000,0.000000,11.377563,11.377563,1,863,1331
-1.30769229,-20.00000000,-1.14096904,0.132934079,0.132934079,0.150000006,0.000000000,0.000000,11.377285,11.377285,1,862,1330
-1.30769229,-17.50000000,-1.14096689,0.132934138,0.132934138,0.150000006,0.000000000,0.000000,11.377244,11.377244,1,861,1329
-1.30769229,-15.00000000,-1.14096534,0.132933483,0.132933483,0.150000006,0.000000000,0.000000,11.377682,11.377682,1,860,1328
-1.30769229,-12.50000000,-1.14096475,0.132933453,0.132933453,0.150000006,0.000000000,0.000000,11.377702,11.377702,1,859,1327
-1.30769229,-10.00000000,-1.14096534,0.132935882,0.132935882,0.150000006,0.000000000,0.000000,11.376082,11.376082,1,858,1326
-1.30769229,-7.50000000,-1.14096618,0.132942945,0.132942945,0.150000006,0.000000000,0.000000,11.371373,11.371373,1,857,1325
-1.30769229,-5.00000000,-1.14096594,0.132945627,0.132945627,0.150000006,0.000000000,0.000000,11.369585,11.369585,1,856,1324
-1.30769229,-2.50000000,-1.14096546,0.132942900,0.132942900,0.150000006,0.000000000,0.000000,11.371403,11.371403,1,855,1323
-1.30769229,0.00000000,-1.14096439,0.132939473,0.132939473,0.150000006,0.000000000,0.000000,11.373688,11.373688,1,854,1322
-1.30769229,2.50000000,-1.14096296,0.132937461,0.132937461,0.150000006,0.000000000,0.000000,11.375029,11.375029,1,853,1321
-1.30769229,5.00000000,-1.14096141,0.132936001,0.132936001,0.150000006,0.000000000,0.000000,11.376003,11.376003,1,852,1320
-1.30769229,7.50000000,-1.14095998,0.132934391,0.132934391,0.150000006,0.000000000,0.000000,11.377076,11.377076,1,851,1319
-1.30769229,10.00000000,-1.14095867,0.132933065,0.132933065,0.150000006,0.000000000,0.000000,11.377960,11.377960,1,850,1318
-1.30769229,12.50000000,-1.14095771,0.132934019,0.132934019,0.150000006,0.000000000,0.000000,11.377324,11.377324,1,849,1317
-1.30769229,15.00000000,-1.14095652,0.132934332,0.132934332,0.150000006,0.000000000,0.000000,11.377116,11.377116,1,848,1316
-1.30769229,17.50000000,-1.14095652,0.132933915,0.132933915,0.150000006,0.000000000,0.000000,11.377393,11.377393,1,847,1315
-1.30769229,20.00000000,-1.14095688,0.132933915,0.132933915,0.150000006,0.000000000,0.000000,11.377393,11.377393,1,846,1314
-1.30769229,22.49999809,-1.14095771,0.132933974,0.132933974,0.150000006,0.000000000,0.000000,11.377354,11.377354,1,845,1313
-1.30769229,25.00000000,-1.14095819,0.132933617,0.132933617,0.150000006,0.000000000,0.000000,11.377592,11.377592,1,844,1312
-1.30769229,27.50000191,-1.14095783,0.132933229,0.132933229,0.150000006,0.000000000,0.000000,11.377851,11.377851,1,843,1311
-1.30769229,30.00000000,-1.14095795,0.132932708,0.132932708,0.150000006,0.000000000,0.000000,11.378198,11.378198,1,842,1310
-1.30769229,32.50000000,-1.14095879,0.132931918,0.132931918,0.150000006,0.000000000,0.000000,11.378725,11.378725,1,841,1309
-1.30769229,35.00000000,-1.14096010,0.132931188,0.132931188,0.150000006,0.000000000,0.000000,11.379211,11.379211,1,840,1308
-1.30769229,37.50000000,-1.14096153,0.132931501,0.132931501,0.150000006,0.000000000,0.000000,11.379003,11.379003,1,839,1307
-1.30769229,40.00000000,-1.14096355,0.132931843,0.132931843,0.150000006,0.000000000,0.000000,11.378775,11.378775,1,838,1306
-1.30769229,42.50000000,-1.14096510,0.132930383,0.132930383,0.150000006,0.000000000,0.000000,11.379748,11.379748,1,837,1305
