ODB: E:\abaqus\3D50mm\RollPress_3D_SelfSupport_DiffSpeed_DPC_S00008B5_50mm_Roll2mm_RigidRoller_Stable.odb
Step: Rolling, frames=81, final_frame_value=0.15000000596
Initial thickness: 0.150000000 mm
Nominal target thickness: 0.135000000 mm
Column count: 2378
Overall thickness_y min/mean/max: 0.126781732 / 0.147119995 / 0.150000334 mm
Overall reduction pct min/mean/max: -0.000223 / 1.920003 / 15.478845 %
Min thickness column: x0=0.00000000 z0=0.00000000 thickness=0.126781732 reduction=15.478845% labels=(764,807)
Columns <= target 0.135000000 mm: 205
Columns reduced >= 0.001 mm: 697
Columns reduced >= 0.005 mm: 369
Columns reduced >= 0.010 mm: 287

Region stats: name,count,min,mean,max,red_min_pct,red_mean_pct,red_max_pct
-8.50000000,41,0.149999797,0.149999815,0.149999842,0.000105,0.000123,0.000135
-7.91666603,41,0.150000244,0.150000265,0.150000334,-0.000223,-0.000176,-0.000163
-7.33333397,41,0.149999246,0.149999297,0.149999484,0.000344,0.000469,0.000503
-6.75000000,41,0.149981424,0.149981491,0.149981827,0.012116,0.012339,0.012384
-6.16666603,41,0.149933279,0.149933342,0.149933711,0.044193,0.044439,0.044481
-5.58333397,41,0.149848327,0.149848419,0.149848819,0.100787,0.101054,0.101115
-5.00000000,41,0.149723545,0.149723631,0.149724036,0.183976,0.184246,0.184304
-4.69230747,41,0.149429902,0.149429991,0.149430394,0.379737,0.380006,0.380065
-4.38461542,41,0.149096251,0.149096347,0.149096757,0.602162,0.602435,0.602500
-4.07692289,41,0.148723811,0.148723898,0.148724303,0.850465,0.850735,0.850793
-3.76923060,41,0.148314387,0.148314482,0.148314863,1.123424,1.123679,1.123742
-3.46153855,41,0.147870407,0.147870523,0.147870883,1.419411,1.419651,1.419729
-3.15384650,41,0.146885291,0.146885583,0.146886006,2.075996,2.076278,2.076473
-2.84615350,41,0.145327300,0.145329082,0.145330057,3.113296,3.113945,3.115133
-2.53846145,41,0.143346012,0.143352788,0.143356010,4.429326,4.431475,4.435992
-2.23076916,41,0.140949816,0.140958567,0.140963018,6.024655,6.027622,6.033456
-1.92307675,41,0.138341352,0.138354743,0.138381258,7.745828,7.763504,7.772432
-1.61538470,41,0.135636061,0.135646516,0.135654375,9.563750,9.568990,9.575959
-1.30769229,41,0.132924139,0.132934012,0.132945627,11.369582,11.377325,11.383907
-1.00000000,41,0.130381078,0.130402598,0.130415142,13.056572,13.064934,13.079282
-0.66666669,41,0.128543213,0.128563809,0.128572822,14.284786,14.290794,14.304525
-0.33333334,41,0.127298415,0.127309749,0.127357692,15.094872,15.126834,15.134390
0.00000000,41,0.126781732,0.126791405,0.126848012,15.434659,15.472397,15.478845
